Name,Age,Gender,Education_Level,Field_of_Study,Degrees,Institute_Name,Graduation_Year,Experience_Years,Current_Job_Title,Previous_Job_Titles,Skills,Certifications,Target_Job_Description
Akash Pillai,30,Non-Binary,Master's,Cybersecurity,Master's in Cybersecurity,University of Pennsylvania,2025,0,None,None,"Node.js, JavaScript, Deep Learning, Statistics, SQL",Google Cloud Professional,Seeking a challenging role as a Software Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Charlotte Taylor,27,Non-Binary,Bachelor's,Electronics Engineering,Bachelor's in Electronics Engineering,Pune University,2019,5,Cybersecurity Engineer,None,"Spark, Kubernetes, Terraform, Natural Language Processing",TensorFlow Developer Certificate,Targeting a Cybersecurity Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
James Zhou,45,Male,Bachelor's,Computer Science,Bachelor's in Computer Science,Amity University,2023,2,Prompt Engineer,None,"Data Analysis, Node.js, Machine Learning, Linux, Jenkins, Network Security, REST APIs","Microsoft Azure Fundamentals, Cisco Certified Network Associate, Oracle Certified Professional",Targeting a Prompt Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Amelia Thomas,28,Male,Master's,Information Technology,Master's in Information Technology,University of Pennsylvania,2023,2,AI Engineer,None,"Docker, Kubernetes, Blockchain, Spark",None,"Targeting a Data Scientist position where I can utilize my expertise in Python, R, SQL, and machine learning algorithms to solve business challenges through data analysis and predictive modeling."
Amanda Jain,42,Non-Binary,Master's,Electronics Engineering,Master's in Electronics Engineering,University of Toronto,2023,2,Cybersecurity Engineer,None,"Statistics, Blockchain, Kubernetes, Cybersecurity",None,Looking for an opportunity as a Prompt Engineer to leverage my expertise in electronics engineering and make a meaningful impact in the industry.
Sarah Nair,40,Male,Bachelor's,Software Engineering,Bachelor's in Software Engineering,Amity University,2024,0,None,None,"Python, Linux, Network Security, Java, AWS, CI/CD, Git, Natural Language Processing",None,Targeting a Quantum Computing Specialist position to utilize my educational background and experience to drive results and achieve career objectives.
Rahul Patel,45,Non-Binary,Master's,Software Engineering,Master's in Software Engineering,London School of Economics,2023,0,None,None,"Ansible, Kubernetes, Computer Vision, DevOps, Blockchain, Machine Learning, PyTorch","Certified Ethical Hacker, Project Management Professional",Seeking a challenging role as a Backend Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Aisha Anderson,21,Non-Binary,Master's,Electrical Engineering,"Master's in Electrical Engineering, Bachelor's in Electronics Engineering",Yale University,2018,7,Product Manager,"Site Reliability Engineer, Software Engineer, Cloud Engineer","Node.js, React, Deep Learning, JavaScript","Google Cloud Professional, Google Data Analytics Professional","Seeking a Product Manager position to drive product strategy, define roadmaps, and collaborate with engineering and design teams to deliver successful products."
Jessica Jackson,32,Female,Bachelor's,Robotics,Bachelor's in Robotics,Vellore Institute of Technology,2023,1,Data Scientist,None,"React, REST APIs, Agile, MongoDB",Certified Kubernetes Administrator,"Looking for an opportunity as a Data Scientist to work with large datasets, build predictive models, and communicate findings to stakeholders through compelling visualizations and reports."
Jackson Patel,35,Non-Binary,Bachelor's,Electronics Engineering,Bachelor's in Electronics Engineering,Stanford University,2017,6,Quantum Computing Specialist,"UI/UX Designer, Site Reliability Engineer, Frontend Developer","SQL, Natural Language Processing, Kubernetes, GraphQL","TensorFlow Developer Certificate, Certified Kubernetes Administrator, Certified Ethical Hacker",Targeting a Quantum Computing Specialist position to utilize my educational background and experience to drive results and achieve career objectives.
Rohan Park,43,Female,Bachelor's,Computer Engineering,Bachelor's in Computer Engineering,Stanford University,2024,0,None,None,"Kafka, Terraform, React, Linux",None,"Seeking a Software Engineer position to develop high-quality, scalable software solutions using modern programming languages and development methodologies."
Sneha Gupta,26,Male,Master's,Electronics Engineering,Master's in Electronics Engineering,Amity University,2019,5,Product Manager,Prompt Engineer,"AWS, Jenkins, Natural Language Processing, JavaScript, SQL, GraphQL, Linux","Certified Kubernetes Administrator, Project Management Professional","Seeking a Product Manager position to drive product strategy, define roadmaps, and collaborate with engineering and design teams to deliver successful products."
Aadhya White,40,Non-Binary,Certificate,Information Technology,Certificate in Information Technology,University of Cambridge,2017,8,Cloud Architect,None,"Cloud Computing, Computer Vision, Azure, Scrum, Node.js",Certified Information Systems Security Professional,Targeting a Quantum Computing Specialist position to utilize my educational background and experience to drive results and achieve career objectives.
Rohan Martinez,42,Male,PhD,Software Engineering,PhD in Software Engineering,Manipal Institute of Technology,2025,0,None,None,"MongoDB, Ansible, Docker, Data Analysis","Scrum Master Certified, Certified Kubernetes Administrator",Looking for an opportunity as a Blockchain Engineer to leverage my expertise in software engineering and make a meaningful impact in the industry.
Sneha Rao,29,Male,Bachelor's,Artificial Intelligence,Bachelor's in Artificial Intelligence,London School of Economics,2023,2,Blockchain Engineer,None,"Python, Agile, Azure, Computer Vision",CompTIA Security+,Seeking a challenging role as a Blockchain Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Ashley Mittal,38,Male,PhD,Electrical Engineering,PhD in Electrical Engineering,Manipal Institute of Technology,2025,0,None,None,"Blockchain, Azure, JavaScript, Git, CI/CD",None,Seeking a challenging role as a Quantum Computing Specialist where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Benjamin Zhou,38,Female,Diploma,Robotics,Diploma in Robotics,University of Oxford,2017,1,Machine Learning Engineer,None,"Kubernetes, TensorFlow, GraphQL, Java, Agile","Oracle Certified Professional, Project Management Professional, Certified Kubernetes Administrator",Seeking a challenging role as a Machine Learning Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Priya Jones,27,Female,Bachelor's,Data Science,Bachelor's in Data Science,University of Oxford,2020,3,Product Manager,AI Engineer,"PyTorch, REST APIs, Agile, Data Analysis",None,"Seeking a Product Manager position to drive product strategy, define roadmaps, and collaborate with engineering and design teams to deliver successful products."
Ava Johnson,39,Female,High School,Electrical Engineering,High School in Electrical Engineering,Christian Medical College,2015,8,Site Reliability Engineer,Big Data Engineer,"Linux, Blockchain, Cloud Computing, AWS, Microservices, PyTorch","AWS Certified Solutions Architect, CompTIA Security+",Looking for an opportunity as a Site Reliability Engineer to leverage my expertise in electrical engineering and make a meaningful impact in the industry.
Aisha Park,31,Non-Binary,Bachelor's,Information Technology,Bachelor's in Information Technology,Technical University of Munich,2021,0,None,None,"Git, GraphQL, Linux, REST APIs, Statistics, Azure, PyTorch, Kafka","Project Management Professional, CompTIA Security+, Microsoft Azure Fundamentals",Looking for a UI/UX Designer position where I can combine creativity with analytical thinking to design user-centered interfaces that solve real problems.
Isabella Brown,34,Non-Binary,Master's,Cybersecurity,Master's in Cybersecurity,SRM Institute of Science and Technology,2018,0,None,None,"Solidity, Machine Learning, Cloud Computing, Penetration Testing, Kubernetes, SQL, Statistics","Google Cloud Professional, Certified Kubernetes Administrator",Seeking a challenging role as a Mobile Applications Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Jackson Reddy,40,Male,Master's,Electronics Engineering,Master's in Electronics Engineering,University of California Berkeley,2021,4,Software Developer,"Product Manager, Cloud Engineer","Microservices, Network Security, REST APIs, Natural Language Processing, Docker",None,Looking for an opportunity as a Software Developer to leverage my expertise in electronics engineering and make a meaningful impact in the industry.
Arjun White,42,Non-Binary,Certificate,Electrical Engineering,Certificate in Electrical Engineering,University of Oxford,2023,0,None,None,"Cloud Computing, Blockchain, Ansible, Solidity, Kubernetes, Penetration Testing, Jenkins","Oracle Certified Professional, Certified Kubernetes Administrator",Looking for an opportunity as a Prompt Engineer to leverage my expertise in electrical engineering and make a meaningful impact in the industry.
Ethan Patel,43,Female,Bachelor's,Cybersecurity,Bachelor's in Cybersecurity,University of Pennsylvania,2021,0,None,None,"SQL, Azure, Docker, Deep Learning, Microservices, Jenkins, Machine Learning, Node.js","Certified Ethical Hacker, Certified Information Systems Security Professional, Google Data Analytics Professional",Looking for an opportunity as a Prompt Engineer to leverage my expertise in cybersecurity and make a meaningful impact in the industry.
Alexander Zhou,39,Non-Binary,High School,Electrical Engineering,High School in Electrical Engineering,Christian Medical College,2022,0,None,None,"Python, Scrum, Git, Microservices, GraphQL, Deep Learning, Network Security",Cisco Certified Network Associate,Looking for an opportunity as a Full-Stack Developer to leverage my expertise in electrical engineering and make a meaningful impact in the industry.
Jessica Chen,33,Non-Binary,Bachelor's,Machine Learning,Bachelor's in Machine Learning,University of Toronto,2021,3,Machine Learning Engineer,Blockchain Engineer,"Terraform, Java, REST APIs, Kafka, SQL, Blockchain, Azure, Cybersecurity",AWS Certified Solutions Architect,Looking for an opportunity as a Machine Learning Engineer to leverage my expertise in machine learning and make a meaningful impact in the industry.
Ava Gupta,36,Male,Master's,Computer Science,Master's in Computer Science,Amity University,2017,1,Big Data Engineer,None,"Node.js, JavaScript, Java, Natural Language Processing, PyTorch",None,Seeking a challenging role as a Big Data Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Evelyn Wang,29,Female,Bachelor's,Electrical Engineering,Bachelor's in Electrical Engineering,Technical University of Munich,2024,1,Frontend Developer,None,"Kubernetes, Git, MongoDB, Kafka",None,Targeting a Frontend Developer position to utilize my educational background and experience to drive results and achieve career objectives.
Olivia Patel,39,Non-Binary,PhD,Data Science,PhD in Data Science,Indian Institute of Technology Delhi,2021,0,None,None,"Spark, AWS, Jenkins, JavaScript, Scrum, Blockchain","Google Cloud Professional, Google Data Analytics Professional","Looking for a Cloud Engineer role where I can architect cloud solutions, automate deployments, and optimize cloud resources for performance and cost-efficiency."
Charlotte Lee,35,Non-Binary,Bachelor's,Software Engineering,Bachelor's in Software Engineering,University of Oxford,2022,3,MLOps Specialist,Prompt Engineer,"Terraform, Penetration Testing, Cybersecurity, Blockchain, Data Analysis, Linux",Google Cloud Professional,Seeking a challenging role as a MLOps Specialist where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Rahul Wilson,26,Female,Bachelor's,Computer Engineering,Bachelor's in Computer Engineering,Amity University,2021,1,Prompt Engineer,None,"Spark, Data Analysis, Ansible, Python, DevOps, PyTorch",None,Targeting a Prompt Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Matthew Rao,35,Male,Bachelor's,Data Science,Bachelor's in Data Science,Mumbai University,2020,2,Full-Stack Developer,None,"Git, Kafka, CI/CD, Penetration Testing, Ansible","Certified Ethical Hacker, CompTIA Security+",Seeking a challenging role as a Full-Stack Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Ankit Zhang,27,Female,Bachelor's,Information Systems,Bachelor's in Information Systems,University of Cambridge,2018,4,Frontend Developer,"Machine Learning Engineer, Blockchain Engineer","PyTorch, Machine Learning, Penetration Testing, Data Analysis, Kafka","Google Cloud Professional, Certified Kubernetes Administrator",Seeking a challenging role as a Frontend Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Aditi Pillai,30,Non-Binary,PhD,Electronics Engineering,PhD in Electronics Engineering,University of Toronto,2022,0,None,None,"Python, Jenkins, Statistics, Penetration Testing","TensorFlow Developer Certificate, Certified Information Systems Security Professional, Microsoft Azure Fundamentals",Seeking a challenging role as a AI Ethics Officer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Amelia Rao,23,Non-Binary,Master's,Computer Science,"Master's in Computer Science, Bachelor's in Information Systems",Pune University,2022,2,Site Reliability Engineer,None,"Jenkins, Git, SQL, Natural Language Processing, AWS","Scrum Master Certified, Oracle Certified Professional, CompTIA Security+",Looking for an opportunity as a Machine Learning Engineer to leverage my expertise in computer science and make a meaningful impact in the industry.
Meera Venkatesh,22,Non-Binary,Diploma,Information Technology,Diploma in Information Technology,National Institute of Technology Trichy,2015,9,Software Engineer,None,"Computer Vision, SQL, Kubernetes, Natural Language Processing, TensorFlow",None,"Seeking a Software Engineer position to develop high-quality, scalable software solutions using modern programming languages and development methodologies."
Isabella Liu,30,Non-Binary,PhD,Information Technology,"PhD in Information Technology, Bachelor's in Computer Engineering",University of Washington,2016,0,None,None,"Computer Vision, Kafka, PyTorch, Blockchain, AWS",Project Management Professional,Looking for an opportunity as a Backend Developer to leverage my expertise in information technology and make a meaningful impact in the industry.
Diya Yang,39,Female,Bachelor's,Machine Learning,Bachelor's in Machine Learning,Indian Institute of Science,2021,4,Frontend Developer,None,"REST APIs, Data Analysis, Cloud Computing, Terraform, Network Security, Solidity",None,Seeking a challenging role as a Frontend Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Christopher Krishnan,39,Male,Certificate,Electronics Engineering,Certificate in Electronics Engineering,Armed Forces Medical College,2020,0,None,None,"JavaScript, TensorFlow, Penetration Testing, DevOps, Solidity, Data Analysis, Kafka, Blockchain","Google Cloud Professional, TensorFlow Developer Certificate, Certified Information Systems Security Professional",Seeking a challenging role as a Blockchain Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Emily Martin,43,Female,Bachelor's,Artificial Intelligence,Bachelor's in Artificial Intelligence,Indian Institute of Technology Delhi,2025,0,None,None,"Cybersecurity, SQL, Linux, Computer Vision","Google Cloud Professional, Certified Ethical Hacker",Looking for an opportunity as a Quantum Computing Specialist to leverage my expertise in artificial intelligence and make a meaningful impact in the industry.
Michael Kumar,27,Non-Binary,Bachelor's,Machine Learning,Bachelor's in Machine Learning,Amity University,2017,0,None,None,"React, Machine Learning, Data Analysis, Ansible, Azure, Statistics, Solidity","Google Cloud Professional, AWS Certified Solutions Architect, Project Management Professional",Targeting a Cybersecurity Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Michael Gupta,28,Male,Master's,Information Technology,Master's in Information Technology,Pune University,2018,2,Blockchain Engineer,None,"Network Security, Statistics, Cloud Computing, Data Analysis, GraphQL","TensorFlow Developer Certificate, Certified Kubernetes Administrator, Oracle Certified Professional",Looking for an opportunity as a Cybersecurity Engineer to leverage my expertise in information technology and make a meaningful impact in the industry.
Emily Nair,29,Male,Bachelor's,Computer Engineering,Bachelor's in Computer Engineering,Pune University,2018,6,Software Developer,"Frontend Developer, Full-Stack Developer","Network Security, Docker, Solidity, Terraform, Penetration Testing, Scrum, Agile, Microservices","Certified Information Systems Security Professional, Certified Kubernetes Administrator, CompTIA Security+",Targeting a Software Developer position to utilize my educational background and experience to drive results and achieve career objectives.
